,activeinvestors,alternateofficecount,businessstatus,companyalsoknownas,companyfinancingstatus,companyformername,companyid,companylegalname,companyname,description,employees,exchange,facebookprofileurl,financingstatusnote,firstfinancingdate,firstfinancingdealclass,firstfinancingdealtype,firstfinancingdealtype2,firstfinancingdealtype3,firstfinancingsize,firstfinancingsizestatus,firstfinancingstatus,formerinvestors,growthrate,growthratechange,growthratepercentchange,growthratepercentile,hqaddressline1,hqaddressline2,hqcity,hqcountry,hqemail,hqfax,hqglobalregion,hqglobalsubregion,hqlocation,hqphone,hqpostcode,hqstate_province,keywords,lastfinancingdate,lastfinancingdealclass,lastfinancingdealtype,lastfinancingdealtype2,lastfinancingdealtype3,lastfinancingsize,lastfinancingsizestatus,lastfinancingstatus,lastupdated,linkedinprofileurl,ownershipstatus,parentcompany,pitchbookprofilelink,primaryindustrycode,primaryindustrygroup,primaryindustrysector,sizemultiple,sizemultiplechange,sizemultiplepercentchange,sizemultiplepercentile,socialgrowthrate,socialgrowthratepercentile,socialsizemultiple,socialsizemultiplepercentile,ticker,totalraised,twitterfollowers,twitterfollowerschange,twitterfollowerspercentchange,twittergrowthrate,twittergrowthratepercentile,twitterprofileurl,twittersizemultiple,twittersizemultiplepercentile,universe,webgrowthrate,webgrowthratepercentile,website,websizemultiple,websizemultiplepercentile,wrds_src,yearfounded
51,,,Startup,,Formerly VC-backed,,100006-57,"IzumoBASE, Inc.",IzumoBASE,"Developer of software-defined storage technologies intended for big data and cloud computing companies. The company cloud-based software is to organizations for storage management and provides a scalable and decentralized storage platform that can be used for multi-site file servers, application back-ends, and backups, focusing to give truly sophisticated solutions to the market of the storage industry and explore the new era of data management.",,,https://www.facebook.com/1551591798412154,"The company was acquired by Sakura Internet (TKS: 3778) for an undisclosed amount on August 6, 2018. The company is no longer actively tracked by PitchBook.",2014-11-28,Venture Capital,Early Stage VC,,,1.4,Actual,Completed,1.0,,,,,"Sumitomo Fudosan Nishi-Shinjuku Building 33F, 7-20-1","Nishi-shinjuku, Shinjuku-ku",Tokyo,Japan,,,Asia,East Asia,"Tokyo, Japan",,,,"software defined storage, storage management application, storage management solutions, storage management system, storage management technology",2018-08-06,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,http://www.linkedin.com/company/izumobase-inc-,Acquired/Merged (Operating Subsidiary),Sakura Internet,https://my.pitchbook.com?c=100006-57,Database Software,Software,Information Technology,,,,,,,,,,1.4,,,,,,https://twitter.com/IzumoBase,,,Venture Capital,,,www.izumobase.com,,,ot_row,2012.0
52,,,Startup,,Formerly VC-backed,,100006-57,"IzumoBASE, Inc.",IzumoBASE,"Developer of software-defined storage technologies intended for big data and cloud computing companies. The company cloud-based software is to organizations for storage management and provides a scalable and decentralized storage platform that can be used for multi-site file servers, application back-ends, and backups, focusing to give truly sophisticated solutions to the market of the storage industry and explore the new era of data management.",,,https://www.facebook.com/1551591798412154,"The company was acquired by Sakura Internet (TKS: 3778) for an undisclosed amount on August 6, 2018. The company is no longer actively tracked by PitchBook.",2014-11-28,Venture Capital,Early Stage VC,,,1.4,Actual,Completed,1.0,,,,,"Sumitomo Fudosan Nishi-Shinjuku Building 33F, 7-20-1","Nishi-shinjuku, Shinjuku-ku",Tokyo,Japan,,,Asia,East Asia,"Tokyo, Japan",,,,"software defined storage, storage management application, storage management solutions, storage management system, storage management technology",2018-08-06,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,http://www.linkedin.com/company/izumobase-inc-,Acquired/Merged (Operating Subsidiary),Sakura Internet,https://my.pitchbook.com?c=100006-57,Database Software,Software,Information Technology,,,,,,,,,,1.4,,,,,,https://twitter.com/IzumoBase,,,Venture Capital,,,www.izumobase.com,,,vc_row,2012.0
53,,,Generating Revenue,,Corporate Backed or Acquired,,100006-75,"Kilowatts Design Company, Inc.",Kilowatts Design Company,"Provider of electrical and automation services. The company specializes in engineering consultancy services such as process automation and control, power systems and power generation consultancy and also offers services to the oil and gas market.",100.0,,,"The company was acquired by Schneider Electric Canada for an undisclosed amount on August 1, 2013. The company is no longer actively tracked by PitchBook.",2013-08-01,Corporate,Merger/Acquisition,,,,,Completed,,,,,,Unit 90,2150-29th Street NothEast,Calgary,Canada,,,Americas,North America,"Calgary, Canada",,T1Y 7G4,Alberta,"electrical and automation service, engineering consultancy, process automation and control",2013-08-01,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100006-75,Construction and Engineering,Commercial Services,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_na,1983.0
54,5.0,1.0,Generating Revenue,,Venture Capital-Backed,,100006-93,"Philo Broadcasting, Inc.",Philo Media,"Developer of an advertising platform designed to create and distribute branded video content. The company's platform offers highly-targeted custom programming on proven trusted first-party platforms across mobile devices and connected screens, enabling clients to expand their customer base.",15.0,,https://www.facebook.com/philomediatv,"The company closed on $2.5 million of an undisclosed targeted amount of Series B venture funding through a combination of debt and equity from undisclosed investors on May 1, 2016, putting the company's pre-money valuation at $17.4 million. It plans to close the round by November 30, 2021. Of the total funds closed $600,000 was received in equity, $1.25 million was received in the form of a term loan and $650,000 was received in the form of convertible debt.",2012-12-03,Venture Capital,Seed Round,Seed Round,,0.8,Actual,Completed,,0.0,0.0,0.0,13.0,570 Village Center Drive,Suite 202A,Burr Ridge,United States,,+1 (707) 354-5680,Americas,North America,"Burr Ridge, IL",+1 (708) 207-6256,60527,Illinois,"advertising, advertising content, advertising program, commercial production, commercial production services, digital advertising platform, distributing video content, tv commercials, tv commercials production",2016-05-01,Venture Capital,Early Stage VC,Series B,,2.5,Actual,Announced/In Progress,2021-06-08,,Privately Held (backing),,https://my.pitchbook.com?c=100006-93,Media and Information Services (B2B),Commercial Services,Business Products and Services (B2B),0.57,0.0,0.55,37.0,0.0,41.0,0.67,43.0,,4.0,211.0,0.0,0.0,0.0,41.0,https://twitter.com/philotv,0.67,43.0,Venture Capital,0.0,10.0,www.philomedia.tv,0.47,31.0,vc_na,2012.0
55,,,Generating Revenue,,Corporate Backed or Acquired,,100009-81,,Rayner & Keeler (65 stores),Operator of optical stores. The company is the manufacturer and retailer of intraocular lenses.,,,,"The company was acquired by Vision Express Group, a subsidiary of HAL Trust (XAMS: HAL) for an undisclosed amount on January 16, 2014. The company is no longer actively tracked by PitchBook.",2014-01-16,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,1.0,,,,,1-2 Sackville Trading Estate,Sackville Road,Hove,United Kingdom,,,Europe,Western Europe,"Hove, United Kingdom",,BN3 7AN,England,,2014-01-16,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,2021-02-02,,Acquired/Merged,,https://my.pitchbook.com?c=100009-81,Accessories,Apparel and Accessories,Consumer Products and Services (B2C),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_row,
56,,,Generating Revenue,,Corporate Backed or Acquired,,100007-02,A-One Feed Supplements Ltd,A-One Feed Supplements,"Provider of feeds and supplements for piglets, ruminants and game. The company manufactures piglet feed, pheasant feed, partridge feed, grouse grit and wildfowl feed. It also provides feed supplements which includes sunlustre, fishmeal, porridge oat flakes, micronised wheat and micronised maize.",55.0,,,"The company was acquired by Devenish Nutrition for an undisclosed amount on November 28, 2014. The company is no longer actively tracked by PitchBook.",2014-11-28,Corporate,Merger/Acquisition,,,,,Completed,,0.0,0.0,0.0,13.0,North Hill,Dishforth Airfield,Thirsk,United Kingdom,info@a-one.co.uk,+44 (0)14 2332 3260,Europe,Western Europe,"Thirsk, United Kingdom",+44 (0)14 2332 2706,YO7 3DH,England,"animal feed, micronised maize, partridge feed, piglet food",2014-11-28,Corporate,Merger/Acquisition,,,,,Completed,2021-06-08,,Acquired/Merged (Operating Subsidiary),Devenish Nutrition,https://my.pitchbook.com?c=100007-02,Animal Husbandry,Agriculture,Materials and Resources,2.0,0.0,0.0,67.0,,,,,,,,,,,,,,,M&A,0.0,10.0,www.a-one.co.uk,2.0,67.0,ot_row,1975.0
57,1.0,,Generating Revenue,Atlas,Corporate Backed or Acquired,,100007-11,"MicaSense, Inc.",MicaSense,"Manufacturer of multispectral sensor drone designed for vegetation mapping. The company's drones is used for gathering crop information over a large area of land reducing the cost of other known methods, helping growers, land managers, and researchers use drone-based imagery to make informed decisions.",27.0,,https://www.facebook.com/micasense,"The company was acquired by AgEagle Aerial Systems from Parrot and other undisclosed investors for $23 million on January 27, 2021. This acquisition will empower AgEagle to drive true innovation and advancements of commercial drone systems and solutions for a number of high growth industry segments. The company is being actively tracked by PitchBook.",2014-11-24,Corporate,Corporate,Series A,,2.0,Actual,Completed,,1.36,0.0,0.0,97.0,1300 North Northlake Way,Suite 100,Seattle,United States,,,Americas,North America,"Seattle, WA",,98103,Washington,"aerial systems, agricultural industry, drones, drones data, drones tech, remote sensing",2021-01-27,Corporate,Merger/Acquisition,,,23.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/micasense-inc-,Privately Held (backing),,https://my.pitchbook.com?c=100007-11,Other Hardware,Computer Hardware,Information Technology,12.11,0.03,0.21,93.0,0.25,92.0,10.95,87.0,,9.4,3468.0,7.0,0.2,0.25,92.0,https://twitter.com/MicaSense,10.95,87.0,M&A,5.2,100.0,www.micasense.com,36.93,98.0,ot_na,2014.0
58,1.0,,Generating Revenue,Atlas,Corporate Backed or Acquired,,100007-11,"MicaSense, Inc.",MicaSense,"Manufacturer of multispectral sensor drone designed for vegetation mapping. The company's drones is used for gathering crop information over a large area of land reducing the cost of other known methods, helping growers, land managers, and researchers use drone-based imagery to make informed decisions.",27.0,,https://www.facebook.com/micasense,"The company was acquired by AgEagle Aerial Systems from Parrot and other undisclosed investors for $23 million on January 27, 2021. This acquisition will empower AgEagle to drive true innovation and advancements of commercial drone systems and solutions for a number of high growth industry segments. The company is being actively tracked by PitchBook.",2014-11-24,Corporate,Corporate,Series A,,2.0,Actual,Completed,,1.36,0.0,0.0,97.0,1300 North Northlake Way,Suite 100,Seattle,United States,,,Americas,North America,"Seattle, WA",,98103,Washington,"aerial systems, agricultural industry, drones, drones data, drones tech, remote sensing",2021-01-27,Corporate,Merger/Acquisition,,,23.0,Actual,Completed,2021-06-08,http://www.linkedin.com/company/micasense-inc-,Privately Held (backing),,https://my.pitchbook.com?c=100007-11,Other Hardware,Computer Hardware,Information Technology,12.11,0.03,0.21,93.0,0.25,92.0,10.95,87.0,,9.4,3468.0,7.0,0.2,0.25,92.0,https://twitter.com/MicaSense,10.95,87.0,M&A,5.2,100.0,www.micasense.com,36.93,98.0,vc_na,2014.0
59,,1.0,Generating Revenue,Briton EMS,Corporate Backed or Acquired,,100007-29,Briton Electronic Manufacturing Services Ltd.,Briton Electronic Manufacturing Services,"Provider of electronics manufacturing services. The company is engaged in the design and manufacture of electronics and caters primarily to the broadcast, industrial, instrumentation, medical, security and transport sectors.",95.0,,,"The company was acquired by OSI Electronics for an undisclosed amount on August 1, 2013. The company is no longer actively tracked by PitchBook.",2013-08-01,Corporate,Merger/Acquisition,,,,,Completed,,,,,,4 Shuttleworth Road,Elms Industrial Estate,Bedford,United Kingdom,info@britonems.co.uk,+44 (0)12 3426 6488,Europe,Western Europe,"Bedford, United Kingdom",+44 (0)12 3426 6300,MK41 0EP,England,"contract electronics manufacturing, electronics manufacturing, electronics manufacturing services",2013-08-01,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,OSI Electronics,https://my.pitchbook.com?c=100007-29,Other Commercial Products,Commercial Products,Business Products and Services (B2B),,,,,,,,,,,,,,,,https://twitter.com/OSIEuk,,,M&A,,,www.britonems.co.uk,,,ot_row,1986.0
60,,,Generating Revenue,AWC,Corporate Backed or Acquired,,100007-47,American Waste Control of Florida Inc.,American Waste Control of Florida,"Manufacturer and wholesaler of waste management equipment. The company supplies, services and installs waste reduction equipment including balers and compactors.",,,,"The company was acquired by Craft Equipment for an undisclosed amount on August 1, 2013. The company is no longer actively tracked by PitchBook.",2013-08-01,Corporate,Merger/Acquisition,,,,,Completed,,,,,,842 NorthWest 7th Terrace,,Fort Lauderdale,United States,,,Americas,North America,"Fort Lauderdale, FL",,33311,Florida,"balers, compactors, waste management equipment",2013-08-01,Corporate,Merger/Acquisition,,,,,Completed,2021-04-07,,Acquired/Merged,,https://my.pitchbook.com?c=100007-47,Other Commercial Products,Commercial Products,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_na,1997.0
61,2.0,,Startup,,Venture Capital-Backed,,100007-56,"WiNote, LLC",WiNote,"Developer of an online social networking platform designed to connect people for real estate transactions. The company's platform provides a web tool which allows brands to create their own social network for user-generated photos and videos that can be leveraged across both online properties and physical locations, enabling users to get a vivid idea of the target location through uploaded images and videos.",,,,The company raised an undisclosed amount of venture funding from G2T3V and Tribal Ventures in 2014.,2014-01-01,Venture Capital,Early Stage VC,,,,,Completed,,0.0,0.0,0.0,13.0,,,,United States,,,Americas,North America,,,,,"online property, online social network, property community, social network creation, web platform",2014-01-01,Venture Capital,Early Stage VC,,,,,Completed,2021-06-08,,Privately Held (backing),,https://my.pitchbook.com?c=100007-56,Social/Platform Software,Software,Information Technology,0.13,0.0,0.0,8.0,,,,,,,,,,,,,,,Venture Capital,0.0,10.0,www.winote.com,0.13,8.0,vc_na,
62,,,Out of Business,,Formerly VC-backed,,100008-10,"ZeeWaves Systems, Inc.",ZeeWaves Systems,"Developer of smart services for antennas and software defined radios (SDR). The company develops antennas for RFID readers, telecom backhaul, WLAN and WIMAX.",,,,"The company is no longer actively in business as of August 1, 2010. The company is no longer actively tracked by PitchBook.",2005-05-05,Venture Capital,Early Stage VC,,,,,Completed,1.0,,,,,1420 Austin Bluffs Parkway,,Colorado Springs,United States,info@zeewaves.com,,Americas,North America,"Colorado Springs, CO",,80918,Colorado,"antenna, smart services, wlan",2010-08-01,Bankruptcy,Bankruptcy: Liquidation,,,,,Completed,2021-04-21,http://www.linkedin.com/company/zeewaves-systems-inc,Out of Business,,https://my.pitchbook.com?c=100008-10,Wireless Communications Equipment,Communications and Networking,Information Technology,,,,,,,,,,,,,,,,,,,Venture Capital,,,www.zeewaves.com,,,ot_na,2001.0
63,,,Out of Business,,Formerly VC-backed,,100008-10,"ZeeWaves Systems, Inc.",ZeeWaves Systems,"Developer of smart services for antennas and software defined radios (SDR). The company develops antennas for RFID readers, telecom backhaul, WLAN and WIMAX.",,,,"The company is no longer actively in business as of August 1, 2010. The company is no longer actively tracked by PitchBook.",2005-05-05,Venture Capital,Early Stage VC,,,,,Completed,1.0,,,,,1420 Austin Bluffs Parkway,,Colorado Springs,United States,info@zeewaves.com,,Americas,North America,"Colorado Springs, CO",,80918,Colorado,"antenna, smart services, wlan",2010-08-01,Bankruptcy,Bankruptcy: Liquidation,,,,,Completed,2021-04-21,http://www.linkedin.com/company/zeewaves-systems-inc,Out of Business,,https://my.pitchbook.com?c=100008-10,Wireless Communications Equipment,Communications and Networking,Information Technology,,,,,,,,,,,,,,,,,,,Venture Capital,,,www.zeewaves.com,,,vc_na,2001.0
64,,,Generating Revenue,,Formerly VC-backed,,100008-19,"Precision Scientific, Inc.",Precision Scientific,Manufacturer of laboratory scientific equipment. The company provides high-level laboratory scientific equipment in the United States.,,,,The company was acquired by Varian on an undisclosed date. The company is no longer actively tracked by PitchBook.,,Venture Capital,Buyout/LBO,,,,,Completed,3.0,,,,,170 Marcel Drive,,Winchester,United States,,,Americas,North America,"Winchester, VA",,22602,Virginia,"instruments dealer, laboratory equipment, scientific equipment",,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100008-19,Other Commercial Products,Commercial Products,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,Venture Capital,,,www.precisionsci.com,,,ot_na,1917.0
65,,,Generating Revenue,,Formerly VC-backed,,100008-19,"Precision Scientific, Inc.",Precision Scientific,Manufacturer of laboratory scientific equipment. The company provides high-level laboratory scientific equipment in the United States.,,,,The company was acquired by Varian on an undisclosed date. The company is no longer actively tracked by PitchBook.,,Venture Capital,Buyout/LBO,,,,,Completed,3.0,,,,,170 Marcel Drive,,Winchester,United States,,,Americas,North America,"Winchester, VA",,22602,Virginia,"instruments dealer, laboratory equipment, scientific equipment",,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100008-19,Other Commercial Products,Commercial Products,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,Venture Capital,,,www.precisionsci.com,,,pe_na,1917.0
66,,,Generating Revenue/Not Profitable,RIG Energy Recruit,Corporate Backed or Acquired,,100008-28,RIG Energy Ltd,RIG Energy,Operator of a recruitment agency. The company offers engineering recruitment services focused on providing mainly domestic and commercial gas engineers. It also provides both temporary and permanent contracts and candidates with a range of engineering jobs.,11.0,,https://www.facebook.com/154105071084,"The company was acquired by RTC Group (LSE: RTC) for GBP 875,000 on December 1, 2014. The company is no longer actively tracked by PitchBook.",2014-12-01,Corporate,Merger/Acquisition,Corporate Divestiture,,1.37870688,Actual,Completed,1.0,,,,,Exchange House,494 Midsummer Boulevard,Central Milton Keynes,United Kingdom,,,Europe,Western Europe,"Central Milton Keynes, United Kingdom",,MK9 2EA,England,"recruitment agency, recruitment service",2014-12-01,Corporate,Merger/Acquisition,Corporate Divestiture,,1.37870688,Actual,Completed,2021-04-21,http://www.linkedin.com/company/ganymede-solutions,Acquired/Merged,,https://my.pitchbook.com?c=100008-28,Human Capital Services,Commercial Services,Business Products and Services (B2B),,,,,,,,,,,,,,,,https://twitter.com/Ganymede_Jobs,,,M&A,,,www.rigenergy.co.uk,,,ot_row,2003.0
67,,,Profitable,Don Mays,Private Equity-Backed,,100008-37,Craft Equipment Co.,Craft Equipment Company,"Provider of full line service in the waste reduction equipment industry. The company provides material handling equipment, storage products, automated storage and retrieval systems, conveyors, waste reduction equipment and loading dock equipment. It also provides parts, installation, consulting and repair services.",51.0,,https://www.facebook.com/craftequipmentcompany,"The company was acquired by Total Fleet Solutions, via its financial sponsor CI Capital Partners, through an LBO on June 18, 2015 for an undisclosed sum. The company is no longer actively tracked by PitchBook.",2015-06-18,Private Equity,Buyout/LBO,Add-on,,,,Completed,,,,,,1820 Massaro Boulevard,Suite 100,Tampa,United States,,+1 (813) 342-3010,Americas,North America,"Tampa, FL",+1 (813) 621-4971,33619,Florida,"material handles, storage product, waste reduction equipment",2015-06-18,Private Equity,Buyout/LBO,Add-on,,,,Completed,2021-04-21,http://www.linkedin.com/company/craft-equipment-company,Acquired/Merged,Total Fleet Solutions,https://my.pitchbook.com?c=100008-37,Other Business Products and Services,Other Business Products and Services,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,Private Equity,,,www.craftequip.com,,,pe_na,1971.0
68,,,Out of Business,,Corporate Backed or Acquired,,100008-55,"Hangtown Energy, Inc.",Hangtown Energy,Provider of oil and gas exploration services. The company operates as an oil and natural gas exploration and development company.,,,,"The company is no longer actively in business as of July 22, 2014. The company is no longer actively tracked by PitchBook.",2013-12-16,Corporate,Reverse Merger,,,,,Failed/Cancelled,,,,,,318 North Carson Street,Suite 202,Carson City,United States,,+1 (775) 841-1998,Americas,North America,"Carson City, NV",+1 (775) 841-1996,89701,Nevada,"energy refining, energy services, exploration company",2014-07-22,Bankruptcy,Bankruptcy: Liquidation,,,,,Completed,2021-04-21,,Out of Business,,https://my.pitchbook.com?c=100008-55,Energy Exploration,"Exploration, Production and Refining",Energy,,,,,,,,,,,,,,,,,,,M&A,,,www.hangtownenergy.com,,,ot_na,2012.0
69,,,Generating Revenue,Funnel Search,Corporate Backed or Acquired,,100008-91,Funnel Search Group Inc.,Funnel Search Group,"Provider of executive search services. The company offers management consultancy, interim management advisory, executive and professional search services.",11.0,,,"The company was acquired by Conroy Ross Partners for an undisclosed amount on May 15, 2013. The company is no longer actively tracked by PitchBook.",2013-05-15,Corporate,Merger/Acquisition,,,,,Completed,,,,,,357 Bay Street,Suite 502,Toronto,Canada,,,Americas,North America,"Toronto, Canada",,M5H 2T7,Ontario,"executive search, interim management advisory, management consultancy",2013-05-15,Corporate,Merger/Acquisition,,,,,Completed,2021-02-02,,Acquired/Merged,,https://my.pitchbook.com?c=100008-91,Consulting Services (B2B),Commercial Services,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_na,2009.0
70,,,Generating Revenue,,Corporate Backed or Acquired,,100009-90,"Conant Architects, LLC",Conant Architects,"Owner and operator of an architecture firm. The company is engaged in providing architecture, interior designing and branding services to clients in the banking, advertising, consumer products, not for profit and professional services sectors.",11.0,,,"The company was acquired by vocon partners for an undisclosed amount on August 15, 2013. The company is no longer actively tracked by PitchBook.",2013-08-15,Corporate,Merger/Acquisition,,,,,Completed,,,,,,315 Madison Avenue,Suite 2400,New York,United States,,,Americas,North America,"New York, NY",,10017,New York,"architecture firm, branding services",2013-08-15,Corporate,Merger/Acquisition,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100009-90,Construction and Engineering,Commercial Services,Business Products and Services (B2B),,,,,,,,,,,,,,,,,,,M&A,,,,,,ot_na,2000.0
71,,1.0,Profitable,,Private Equity-Backed,,100009-99,"TerraTherm, Inc.",TerraTherm,"Provider of environmental services. The company provides a technology which combines the use of heat and vacuums to remove toxins such as fuel oils, creosote, PCBs and solvents from land.",61.0,,https://www.facebook.com/TerraTherm,"The company was acquired by Cascade Drilling, via its financial sponsor PennantPark Investment Corporation, Snow Phipps Group and Environmental Capital Partners, through an LBO on August 25, 2015 for an undisclosed sum.",2001-01-30,Venture Capital,Early Stage VC,,,2.25,Actual,Completed,2.0,0.0,0.0,0.0,13.0,151 Suffolk Lane,,Gardner,United States,info@terratherm.com,+1 (978) 632-3422,Americas,North America,"Gardner, MA",+1 (978) 730-1200,01440,Massachusetts,"dust, organic contaminants, situ thermal, thermal remediation",2015-08-25,Private Equity,Buyout/LBO,Add-on,,,,Completed,2021-06-08,http://www.linkedin.com/company/terratherm-inc-,Acquired/Merged (Operating Subsidiary),Cascade Drilling,https://my.pitchbook.com?c=100009-99,Environmental Services (B2B),Commercial Services,Business Products and Services (B2B),2.34,0.0,0.06,71.0,0.0,41.0,0.29,30.0,,2.25,91.0,-2.0,-2.15,0.0,41.0,https://twitter.com/terratherminc,0.29,30.0,"Private Equity, Venture Capital",0.0,10.0,www.terratherm.com,4.4,81.0,pe_na,2000.0
72,,1.0,Profitable,,Private Equity-Backed,,100009-99,"TerraTherm, Inc.",TerraTherm,"Provider of environmental services. The company provides a technology which combines the use of heat and vacuums to remove toxins such as fuel oils, creosote, PCBs and solvents from land.",61.0,,https://www.facebook.com/TerraTherm,"The company was acquired by Cascade Drilling, via its financial sponsor PennantPark Investment Corporation, Snow Phipps Group and Environmental Capital Partners, through an LBO on August 25, 2015 for an undisclosed sum.",2001-01-30,Venture Capital,Early Stage VC,,,2.25,Actual,Completed,2.0,0.0,0.0,0.0,13.0,151 Suffolk Lane,,Gardner,United States,info@terratherm.com,+1 (978) 632-3422,Americas,North America,"Gardner, MA",+1 (978) 730-1200,01440,Massachusetts,"dust, organic contaminants, situ thermal, thermal remediation",2015-08-25,Private Equity,Buyout/LBO,Add-on,,,,Completed,2021-06-08,http://www.linkedin.com/company/terratherm-inc-,Acquired/Merged (Operating Subsidiary),Cascade Drilling,https://my.pitchbook.com?c=100009-99,Environmental Services (B2B),Commercial Services,Business Products and Services (B2B),2.34,0.0,0.06,71.0,0.0,41.0,0.29,30.0,,2.25,91.0,-2.0,-2.15,0.0,41.0,https://twitter.com/terratherminc,0.29,30.0,"Private Equity, Venture Capital",0.0,10.0,www.terratherm.com,4.4,81.0,vc_na,2000.0
73,,,Generating Revenue,,Corporate Backed or Acquired,,100010-26,,AxxiTRIALS,Provider of clinical trial portal services. The company provides document content lifecycle management software,,,,"The AxxiTRIALS unit of Axxiem Web Solutions was acquired by Litera for an undisclosed amount on August 15, 2013. The company is no longer actively tracked by PitchBook.",2013-08-15,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,1.0,,,,,5000 Crossmill Road,,McLeansville,United States,,,Americas,North America,"McLeansville, NC",,27301,North Carolina,"lagging indicators, prepackaged software, real time reporting",2013-08-15,Corporate,Merger/Acquisition,Corporate Divestiture,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100010-26,Other IT Services,IT Services,Information Technology,,,,,,,,,,,,,,,,,,,M&A,,,www.axxitrials.com,,,ot_na,2004.0
74,,,Startup,,Formerly VC-backed,,100010-89,"ImPress Systems, Inc.",ImPress Systems,Manufacturer of foil printers. The company develops and markets printing machines and equipment for industrial and retail applications.,2.0,,https://www.facebook.com/impresssystems,MassVentures sold stake in the company on an undisclosed date.,2000-04-20,Venture Capital,Early Stage VC,Series A,,0.999988,Actual,Completed,1.0,,,,,7C Stuart Road,,Chelmsford,United States,info@impresssystems.com,+1 (978) 441-2032,Americas,North America,"Chelmsford, MA",+1 (978) 441-2022,01824,Massachusetts,"pads printing, printing equipment, trophy plates",,Private Equity,Secondary Transaction - Private,,,,,Completed,2021-04-21,http://www.linkedin.com/company/impress-systems-inc-,Privately Held (backing),,https://my.pitchbook.com?c=100010-89,Printing Services (B2B),Commercial Services,Business Products and Services (B2B),,,,,,,,,,0.999988,,,,,,https://twitter.com/impressfoil,,,"Private Equity, Venture Capital",,,www.impresssystems.com,,,ot_na,1999.0
75,,,Startup,,Formerly VC-backed,,100010-89,"ImPress Systems, Inc.",ImPress Systems,Manufacturer of foil printers. The company develops and markets printing machines and equipment for industrial and retail applications.,2.0,,https://www.facebook.com/impresssystems,MassVentures sold stake in the company on an undisclosed date.,2000-04-20,Venture Capital,Early Stage VC,Series A,,0.999988,Actual,Completed,1.0,,,,,7C Stuart Road,,Chelmsford,United States,info@impresssystems.com,+1 (978) 441-2032,Americas,North America,"Chelmsford, MA",+1 (978) 441-2022,01824,Massachusetts,"pads printing, printing equipment, trophy plates",,Private Equity,Secondary Transaction - Private,,,,,Completed,2021-04-21,http://www.linkedin.com/company/impress-systems-inc-,Privately Held (backing),,https://my.pitchbook.com?c=100010-89,Printing Services (B2B),Commercial Services,Business Products and Services (B2B),,,,,,,,,,0.999988,,,,,,https://twitter.com/impressfoil,,,"Private Equity, Venture Capital",,,www.impresssystems.com,,,vc_na,1999.0
76,,,Generating Revenue/Not Profitable,Wilcox CV,Corporate Backed or Acquired,EM Wilcox,100010-98,Wilcox Commercial Vehicles Ltd,Wilcox Commercial Vehicles,Provider of commercial transportation services. The company engages in commercial transportation services through trailers.,119.0,,,"The company received GBP 2.5 million of debt financing from Barclays Corporate on December 1, 2014. The company is no longer actively tracked by PitchBook.",1972-01-01,Corporate,Merger/Acquisition,,,,,Completed,5.0,,,,,Blenheim Way,"Northfield Industrial Estate, Market Deeping",Peterborough,United Kingdom,,+44 (0)17 7834 7269,Europe,Western Europe,"Peterborough, United Kingdom",+44 (0)17 7834 5151,PE6 8LD,England,"commercial transportation, trailer, transportation service",2014-12-01,Debt,Debt - General,,,,,Completed,2021-04-21,,Acquired/Merged,,https://my.pitchbook.com?c=100010-98,Automotive,Transportation,Consumer Products and Services (B2C),,,,,,,,,,3.93916252,,,,,,,,,"Debt Financed, M&A",,,www.wilcox.uk.com,,,ot_row,1947.0
